Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_1x14_P2.54mm_Vertical,1,ILI9341,
J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery_plug,
J3,AMPHENOL_10067847-001RLF,1,SD_Card_Receptacle,
J4,SD_Card_Device_16mm_SlotDepth,1,SD_Card_Device,
J5,microSD_HC_Hirose_DM3D-SF,1,Micro_SD_Card,
"MOUSE-BITE-3MM-SLOT_3, MOUSE-BITE-3MM-SLOT_2, MOUSE-BITE-3MM-SLOT",mouse-bite-3mm-slot,3,VAL**,
"SW1, SW2, SW3",SW_PUSH_6mm,3,SW_Push,
SW4,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPST,
U1,XIAO-ESP32S3-SMD,1,XIAO-ESP32-S3-SMD,
U2,SOT-23,1,LM809,
